Search,Study,Experiment,Dataset,Reference,Type,Culture,Mixed culture species IDs (strains),ID,Strain,Order,Family,Genus,Species,Growth medium,Type of fermentation,Final electron acceptor,Initial pH,Fermentation products listed,(An)aerobic?,Test temp (K),Variable 2,Variable 2 value,Variable 2 units,Variable 3,Variable 3 value,Variable 3 units,Rate_type,Rate,Rate units,1_kT,ln_rate
1,2,2-A,2-A-01,"Pan CM, Fan YT, Zhao P, Hou HW (2008).  Fermentative hydrogen production by the newly isolated Clostridium beijerinckii Fanp3.  International Journal of Hydrogen Energy 33(20):5383-5391.",Fermenter,Pure,,Clostridium beijerinckii,Fanp3,Clostridiales,Clostridiaceae,Clostridium,beijerinckii,"Glucose, peptose, other",Batch fermentation,,6.5 (?),"Hydrogen, acetic acid, butyric acid, ethanol, butynol",Anaerobic,293.4767,,,,,,,Hydrogen production rate,7.9314,ml/g-glucose*h-1,39.54306058,2.070829565
1,2,2-A,2-A-01,"Pan CM, Fan YT, Zhao P, Hou HW (2008).  Fermentative hydrogen production by the newly isolated Clostridium beijerinckii Fanp3.  International Journal of Hydrogen Energy 33(20):5383-5391.",Fermenter,Pure,,Clostridium beijerinckii,Fanp3,Clostridiales,Clostridiaceae,Clostridium,beijerinckii,"Glucose, peptose, other",Batch fermentation,,6.5 (?),"Hydrogen, acetic acid, butyric acid, ethanol, butynol",Anaerobic,298.6791,,,,,,,Hydrogen production rate,11.6625,ml/g-glucose*h-1,38.85429856,2.456378566
1,2,2-A,2-A-01,"Pan CM, Fan YT, Zhao P, Hou HW (2008).  Fermentative hydrogen production by the newly isolated Clostridium beijerinckii Fanp3.  International Journal of Hydrogen Energy 33(20):5383-5391.",Fermenter,Pure,,Clostridium beijerinckii,Fanp3,Clostridiales,Clostridiaceae,Clostridium,beijerinckii,"Glucose, peptose, other",Batch fermentation,,6.5 (?),"Hydrogen, acetic acid, butyric acid, ethanol, butynol",Anaerobic,304.1162,,,,,,,Hydrogen production rate,27.2946,ml/g-glucose*h-1,38.15964729,3.30668888
1,3,3-A,3-A-01,"Saripan AF, Reungsang A (2014).  Simultaneous saccharification and fermentation of cellulose for bio-hydrogen production by mixed cultures in elephant dung.  International Journal of Hydrogen Energy 39:9028-9035.",Fermenter,Mixed,"Lactobacillus, Clostridium, Streptococcus, Thermoanaerobacterium",,,,,,,Carboxymethyl cellulose and elephant dung,Batch fermentation,,7,"Hydrogen, ethanol, acetate, butanol, butyrate, lactate",Anaerobic,318,,,,,,,Hydrogen production rate,314.9,ml/Lh,36.49360669,5.752255128
1,3,3-A,3-A-01,"Saripan AF, Reungsang A (2014).  Simultaneous saccharification and fermentation of cellulose for bio-hydrogen production by mixed cultures in elephant dung.  International Journal of Hydrogen Energy 39:9028-9035.",Fermenter,Mixed,"Lactobacillus, Clostridium, Streptococcus, Thermoanaerobacterium",,,,,,,Carboxymethyl cellulose and elephant dung,Batch fermentation,,7,"Hydrogen, ethanol, acetate, butanol, butyrate, lactate",Anaerobic,323,,,,,,,Hydrogen production rate,642.7,ml/Lh,35.92869017,6.465678052
1,3,3-A,3-A-01,"Saripan AF, Reungsang A (2014).  Simultaneous saccharification and fermentation of cellulose for bio-hydrogen production by mixed cultures in elephant dung.  International Journal of Hydrogen Energy 39:9028-9035.",Fermenter,Mixed,"Lactobacillus, Clostridium, Streptococcus, Thermoanaerobacterium",,,,,,,Carboxymethyl cellulose and elephant dung,Batch fermentation,,7,"Hydrogen, ethanol, acetate, butanol, butyrate, lactate",Anaerobic,328,,,,,,,Hydrogen production rate,1074.5,ml/Lh,35.38099673,6.979610716
1,4,4-A,4-A-01,"Lo Y-C, Chen X-J, Huang C-Y, Yuan Y-J, Chang J-S (2013).  Dark fermentative hydrogen production with crude glycerol from biodiesel industry using indigenous hydrogen-producing bacteria.  International Journal of Hydrogen Energy 38:15815-15822.",Fermenter,Pure,,Clostridium pasteurianum,CH4,Clostridiales,Clostridiaceae,Clostridium,pasteurianum,Glycerol,Batch fermentation,,,"Hydrogen, butyrate, butanol, acetate, lactate",Anaerobic,303,,,,,,,Hydrogen production rate,85.5908,ml/Lh,38.30022088,4.449577801
1,4,4-A,4-A-01,"Lo Y-C, Chen X-J, Huang C-Y, Yuan Y-J, Chang J-S (2013).  Dark fermentative hydrogen production with crude glycerol from biodiesel industry using indigenous hydrogen-producing bacteria.  International Journal of Hydrogen Energy 38:15815-15822.",Fermenter,Pure,,Clostridium pasteurianum,CH4,Clostridiales,Clostridiaceae,Clostridium,pasteurianum,Glycerol,Batch fermentation,,,"Hydrogen, butyrate, butanol, acetate, lactate",Anaerobic,308,,,,,,,Hydrogen production rate,202.3054,ml/Lh,37.67846404,5.309778437
1,5,5-A,5-A-01,"Cai J, Wu Q, Wang G, Deng C (2013).  Fermentative hydrogen production by new mesophilic bacterium Clostridium sp. 6A-5 isolated from the sludge of a sugar mill.  Renewable Energy 59:202-209.",Fermenter,Pure,,Clostridium sp.,6A-5,Clostridiales,Clostridiaceae,Clostridium,sp.,Primarily glucose,Batch fermentation,,7,,Anaerobic,303,,,,,,,Hydrogen production rate,105.8,ml/Lh,38.30022088,4.661550519
1,5,5-A,5-A-01,"Cai J, Wu Q, Wang G, Deng C (2013).  Fermentative hydrogen production by new mesophilic bacterium Clostridium sp. 6A-5 isolated from the sludge of a sugar mill.  Renewable Energy 59:202-209.",Fermenter,Pure,,Clostridium sp.,6A-5,Clostridiales,Clostridiaceae,Clostridium,sp.,Primarily glucose,Batch fermentation,,7,,Anaerobic,307,,,,,,,Hydrogen production rate,146,ml/Lh,37.8011952,4.983606622
