Dataset,Intercept,Activation_energy,Order
2-A-01,37.33798,-0.8938464,Clostridiales
3-A-01,46.06968,-1.1040115,Mixed
4-A-01,57.43794,-1.3835535,Clostridiales
5-A-01,22.2186,-0.4579095,Clostridiales
6-A-01,27.38985,-0.6318952,Mixed
7-A-01,34.28349,-0.7777029,Clostridiales
8-A-01,40.0962,-0.9968412,Clostridiales
9-A-01,29.91915,-0.7545289,Rhizobiales
9-B-01,36.2139,-0.9410735,Rhizobiales
10-A-01,32.32569,-0.9789891,Thermotogales
10-A-02,46.10146,-1.4022018,Thermotogales
10-A-03,18.15064,-0.6712482,Thermotogales
11-A-01,14.48595,-0.3100858,Mixed
12-A-01,10.99211,-0.2314405,Mixed
12-B-01,11.59821,-0.2432411,Mixed
12-C-01,11.02329,-0.2301645,Mixed
12-D-01,10.91575,-0.2369582,Mixed
13-A-01,10.99211,-0.2314405,Mixed
13-C-01,10.96952,-0.2335614,Mixed
14-A-01,19.44297,-0.4500502,Enterobacteriales
16-A-01,21.52708,-0.6079325,Clostridiales
17-A-01,92.17556,-2.3467976,Mixed
17-B-01,16.69075,-0.3727208,Mixed
17-D-01,143.11284,-3.7667064,Mixed
17-D-02,30.33182,-0.8427032,Mixed
17-D-03,34.76476,-0.9317342,Mixed
17-D-04,20.25396,-0.550316,Mixed
18-A-01,22.05742,-0.6720416,Mixed
19-A-01,36.33676,-0.8357253,Mixed
19-B-01,33.07969,-0.7659847,Mixed
19-C-01,29.68723,-0.7019871,Mixed
20-A-01,58.48781,-1.5884228,Lactobacillales
20-A-02,40.88544,-1.1203105,Lactobacillales
21-A-01,34.43933,-0.8185627,Lactobacillales
21-A-02,31.08518,-0.8450435,Lactobacillales
21-B-01,29.84453,-0.6845861,Lactobacillales
21-B-02,30.22549,-0.8084168,Lactobacillales
24-A-01,39.00088,-1.1650907,Thermotogales
24-B-01,18.33512,-0.5652308,Thermotogales
28-A-01,19.33843,-0.4748643,PER-K23
32-A-01,36.92939,-0.9978687,Enterobacteriales
32-B-01,25.62217,-0.702314,E3
34-A-01,47.40913,-1.4601966,Thermococcales
35-A-01,49.41186,-1.2495635,Enterobacteriales
35-B-01,28.9041,-0.7346094,Enterobacteriales
36-A-01,26.7824,-0.784737,Methanobacteriales
37-A-01,19.62167,-0.5674242,Deferribacterales
38-A-01,18.88595,-0.59692,Thermanaerobacterales
38-B-01,70.5938,-2.0427539,Clostridiales
39-B-01,113.56533,-3.2743907,Planctomycetales
40-A-01,26.05594,-0.7716157,Thermolithobacterales
41-A-01,32.55483,-0.8619548,Clostridiales
42-A-01,15.14581,-0.4071084,Desulfuromondales
43-F-01,16.3397,-0.5693024,Mixed
44-A-01,31.3727,-0.9719527,Thermanaerobacterales
45-A-01,37.97179,-1.1086473,Bacillales
46-A-01,26.8611,-0.8323243,Clostridiales
47-A-01,31.40516,-0.9039007,Clostridiales
48-A-01,28.89374,-0.8295,Clostridiales
48-A-02,11.00796,-0.260344,Clostridiales
49-A-01,37.1047,-0.8444486,Campylobacterales
50-A-01,13.08273,-0.3958589,Bacillales
51-A-01,15.47273,-0.4473966,Chlorobiales
53-A-01,35.80128,-1.1025954,Thermanaerobacterales
54-A-01,26.62745,-0.7880116,Thermanaerobacterales
55-A-01,28.42278,-0.8700447,Clostridiales
56-A-01,28.23741,-0.795399,Thermotogales
56-B-01,21.28744,-0.6083479,Thermotogales
57-A-01,28.3538,-0.8661197,Thermotogales
58-A-01,19.55596,-0.5969403,Mixed
59-A-01,29.16078,-0.8882418,Thermotogales
60-A-01,72.21974,-2.0751586,Thermanaerobacterales
62-A-01,40.24738,-1.1039571,Clostridiales
62-A-02,48.06254,-1.2902669,Clostridiales
64-A-01,25.17799,-0.5635459,Desulfovibrionales
65-A-01,47.38307,-1.1602352,Methanococcales
65-B-01,85.6267,-2.1632132,Methanococcales
66-A-01,45.01976,-1.4007342,Thermococcales
