Group	Intercept	Slope
1-A-01	20.856424	-0.33620946
1-A-02	35.543247	-0.72395136
1-A-03	14.04365	-0.1524302
10-A-01	32.325687	-0.97898911
10-A-02	23.278824	-0.73255381
10-A-03	18.150635	-0.67124822
11-A-01	14.485949	-0.31008575
12-A-01	10.992113	-0.23144053
12-B-01	11.59821	-0.24324108
12-C-01	11.023286	-0.23016452
12-D-01	10.915752	-0.23695823
13-A-01	10.992113	-0.23144053
13-B-01	26.791225	-0.63735368
13-C-01	10.969519	-0.23356137
14-A-01	19.442967	-0.45005019
15-A-01	23.569965	-0.6330566
15-A-02	19.347646	-0.51435526
16-A-01	6.831522	-0.24829603
17-A-01	69.582451	-1.75921019
17-B-01	16.885871	-0.37752726
17-C-01	31.359854	-0.75332168
17-D-01	26.735323	-0.64170245
17-D-02	90.64139	-2.50744301
17-D-03	27.016101	-0.72235146
17-D-04	20.253961	-0.55031603
17-D-05	79.67567	-2.16223541
17-D-06	590.430721	-16.04965821
18-A-01	42.147554	-1.23640632
19-A-01	43.996439	-1.03493032
19-B-01	33.079687	-0.76598474
19-C-01	29.687229	-0.70198715
2-A-01	34.43749	-0.8212452
20-A-01	38.546666	-1.05651135
20-A-02	8.461277	-0.26074417
21-A-02	30.064157	-0.81941561
21-A-1	40.418505	-0.97099491
21-B-01	28.020574	-0.63657004
21-B-02	30.51584	-0.81618947
22-A-01	17.120858	-0.52640203
23-A-01	10.005406	-0.29079852
24-A-01	32.363904	-0.97224742
24-B-01	20.834413	-0.63965243
25-A-01	22.185476	-0.64204711
26-A-01	10.245686	-0.31893472
27-A-01	44.108958	-1.17590984
28-A-01	11.44706	-0.27647112
29-A-01	59.294769	-1.5291001
29-A-02	16.470602	-0.44014905
29-A-03	22.171623	-0.52677938
3-A-01	46.069677	-1.10401153
30-A-04	20.209814	-0.47430257
30-A-05	-1.739086	0.13655145
30-A-06	20.25458	-0.59784873
31-A-01	5.776302	-0.08637369
32-A-01	36.356534	-0.98332865
33-A-01	26.489394	-0.72328675
34-A-01	47.409135	-1.46019659
35-A-01	48.789937	-1.23360892
35-B-01	28.22614	-0.71743363
36-A-01	26.782399	-0.78473702
37-A-01	126.868163	-3.57998848
38-A-01	18.885952	-0.59692
38-B-01	68.34628	-1.97870293
39-B-01	113.565332	-3.27439066
4-A-01	57.437937	-1.38355346
40-A-01	26.055942	-0.77161572
41-A-01	32.554832	-0.8619548
41-B-01	36.444725	-1.12252274
41-C-01	77.256555	-2.26935222
41-C-02	56.868078	-1.67369143
42-A-01	15.145812	-0.40710842
43-A-01	116.866617	-3.52119489
43-B-01	127.255971	-3.75551441
43-C-01	436.572831	-12.44796672
43-D-01	46.472271	-1.42829119
43-E-01	10.556611	-0.39347387
43-F-01	16.339699	-0.56930235
44-A-01	30.989147	-0.96350759
45-A-01	37.971795	-1.10864731
46-A-01	16.20746	-0.52963475
47-A-01	25.815298	-0.7544277
48-A-01	28.893739	-0.8295
48-A-02	11.007957	-0.26034396
49-A-01	28.167578	-0.62029608
5-A-01	21.271281	-0.43289646
50-A-01	10.239185	-0.32449795
51-A-01	15.47273	-0.44739656
52-A-01	6.52262	-0.20390295
53-A-01	33.11532	-1.02621358
54-A-01	26.627448	-0.78801161
55-A-01	25.721345	-0.79592674
56-A-01	28.237407	-0.79539903
56-B-01	21.287443	-0.60834795
56-C-01	9.629672	-0.28498112
57-A-01	28.353804	-0.86611968
58-A-01	19.555955	-0.59694032
59-A-01	43.406034	-1.29148222
6-A-01	22.113326	-0.48870988
60-A-01	76.761589	-2.1942681
61-A-01	24.320808	-0.82635997
62-A-01	40.24738	-1.1039571
63-A-01	48.062537	-1.2902669
64-A-01	50.306092	-1.19187922
65-A-01	60.690438	-1.50092152
65-B-01	102.201831	-2.59589628
66-A-01	94.087524	-2.86359969
7-A-01	12.294278	-0.20349156
8-A-01	3.153726	-0.03324762
9-A-01	31.405283	-0.79354094
9-B-01	36.213897	-0.94107354
