Dataset,Intercept,Activation_energy,Order,Culture,Type
10-A-01,32.32569,-0.9789891,Thermotogales,Pure,Fermenter
10-A-02,46.10146,-1.4022018,Thermotogales,Pure,Fermenter
10-A-03,18.15064,-0.6712482,Thermotogales,Pure,Fermenter
11-A-01,14.48595,-0.3100858,Mixed,Mixed,Fermenter
12-A-01,10.99211,-0.2314405,Mixed,Mixed,Fermenter
12-B-01,11.59821,-0.2432411,Mixed,Mixed,Fermenter
12-C-01,11.02329,-0.2301645,Mixed,Mixed,Fermenter
12-D-01,10.91575,-0.2369582,Mixed,Mixed,Fermenter
13-A-01,10.99211,-0.2314405,Mixed,Mixed,Fermenter
13-C-01,10.96952,-0.2335614,Mixed,Mixed,Fermenter
14-A-01,19.44297,-0.4500502,Enterobacteriales,Pure,Fermenter
16-A-01,21.52708,-0.6079325,Clostridiales,Pure,Fermenter
17-A-01,92.17556,-2.3467976,Mixed,Mixed,Methane producer
17-B-01,16.69075,-0.3727208,Mixed,Mixed,Methane producer
17-D-01,143.11284,-3.7667064,Mixed,Mixed,Methane producer
17-D-02,30.33182,-0.8427032,Mixed,Mixed,Methane producer
17-D-03,34.76476,-0.9317342,Mixed,Mixed,Methane producer
17-D-04,20.25396,-0.550316,Mixed,Mixed,Methane producer
18-A-01,22.05742,-0.6720416,Mixed,Mixed,Methane producer
19-A-01,36.33676,-0.8357253,Mixed,Mixed,Methane producer
19-B-01,33.07969,-0.7659847,Mixed,Mixed,Methane producer
19-C-01,29.68723,-0.7019871,Mixed,Mixed,Methane producer
20-A-01,58.48781,-1.5884228,Lactobacillales,Pure,Fermenter
20-A-02,40.88544,-1.1203105,Lactobacillales,Pure,Fermenter
21-A-01,34.43933,-0.8185627,Lactobacillales,Pure,Fermenter
21-A-02,31.08518,-0.8450435,Lactobacillales,Pure,Fermenter
21-B-01,29.84453,-0.6845861,Lactobacillales,Pure,Fermenter
21-B-02,30.22549,-0.8084168,Lactobacillales,Pure,Fermenter
24-A-01,39.00088,-1.1650907,Thermotogales,Pure,Fermenter
24-B-01,18.33512,-0.5652308,Thermotogales,Pure,Fermenter
28-A-01,19.33843,-0.4748643,Other,Pure,Reducer
2-A-01,37.33798,-0.8938464,Clostridiales,Pure,Fermenter
32-A-01,36.92939,-0.9978687,Enterobacteriales,Pure,Reducer
32-B-01,25.62217,-0.702314,Other,Pure,Reducer
34-A-01,47.40913,-1.4601966,Other,Pure,
35-A-01,49.41186,-1.2495635,Enterobacteriales,Pure,Reducer
35-B-01,28.9041,-0.7346094,Enterobacteriales,Pure,Reducer
36-A-01,26.7824,-0.784737,Other,Pure,Methane producer
37-A-01,19.62167,-0.5674242,Other,Pure,Reducer
38-A-01,18.88595,-0.59692,Thermanaerobacterales,Pure,Reducer
38-B-01,70.5938,-2.0427539,Clostridiales,Pure,Reducer
39-B-01,113.56533,-3.2743907,Other,Pure,Reducer
3-A-01,46.06968,-1.1040115,Mixed,Mixed,Fermenter
40-A-01,26.05594,-0.7716157,Other,Pure,Reducer
41-A-01,32.55483,-0.8619548,Clostridiales,Pure,Reducer
42-A-01,15.14581,-0.4071084,Other,Pure,Reducer
44-A-01,31.3727,-0.9719527,Thermanaerobacterales,Pure,Reducer
45-A-01,37.97179,-1.1086473,Other,Pure,Fermenter
46-A-01,26.8611,-0.8323243,Clostridiales,Pure,Reducer
47-A-01,31.40516,-0.9039007,Clostridiales,Pure,Fermenter
48-A-01,28.89374,-0.8295,Clostridiales,Pure,Fermenter
48-A-02,11.00796,-0.260344,Clostridiales,Pure,Fermenter
49-A-01,37.1047,-0.8444486,Other,Pure,Fermenter
4-A-01,57.43794,-1.3835535,Clostridiales,Pure,Fermenter
50-A-01,13.08273,-0.3958589,Other,Pure,Reducer
51-A-01,15.47273,-0.4473966,Other,Pure,Reducer
53-A-01,35.80128,-1.1025954,Thermanaerobacterales,Pure,Reducer
54-A-01,26.62745,-0.7880116,Thermanaerobacterales,Pure,Reducer
55-A-01,28.42278,-0.8700447,Clostridiales,Pure,Reducer
56-A-01,28.23741,-0.795399,Thermotogales,Pure,Reducer
56-B-01,21.28744,-0.6083479,Thermotogales,Pure,Reducer
57-A-01,28.3538,-0.8661197,Thermotogales,Pure,Reducer
58-A-01,19.55596,-0.5969403,Mixed,Mixed,Fermenter
59-A-01,29.16078,-0.8882418,Thermotogales,Pure,
5-A-01,22.2186,-0.4579095,Clostridiales,Pure,Fermenter
60-A-01,72.21974,-2.0751586,Thermanaerobacterales,Pure,Fermenter
62-A-01,40.24738,-1.1039571,Clostridiales,Pure,Fermenter
62-A-02,48.06254,-1.2902669,Clostridiales,Pure,Fermenter
64-A-01,25.17799,-0.5635459,Other,Pure,Reducer
65-A-01,47.38307,-1.1602352,Other,Pure,Methane producer
65-B-01,85.6267,-2.1632132,Other,Pure,Methane producer
66-A-01,45.01976,-1.4007342,Other,Pure,Reducer
6-A-01,27.38985,-0.6318952,Mixed,Mixed,Fermenter
7-A-01,34.28349,-0.7777029,Clostridiales,Pure,Fermenter
8-A-01,40.0962,-0.9968412,Clostridiales,Pure,Fermenter
9-A-01,29.91915,-0.7545289,Other,Pure,Fermenter
9-B-01,36.2139,-0.9410735,Other,Pure,Fermenter
